id,datum,jahr,ort,vortragstitel,anlass,ga,zyklus
19010218,18.02.1901,1901,Berlin,Die griechischen Weltanschauungen,Welt- und Lebensanschauungen von den ältesten Zeiten bis zur Gegenwart / Vorträge in der Arbeiterbildungsschule,51,
19010225,25.02.1901,1901,Berlin,Die griechischen Weltanschauungen,Welt- und Lebensanschauungen von den ältesten Zeiten bis zur Gegenwart / Vorträge in der Arbeiterbildungsschule,51,
19010304,04.03.1901,1901,Berlin,Die griechischen Weltanschauungen,Welt- und Lebensanschauungen von den ältesten Zeiten bis zur Gegenwart / Vorträge in der Arbeiterbildungsschule,51,
19010311,11.03.1901,1901,Berlin,Die griechischen Weltanschauungen,Welt- und Lebensanschauungen von den ältesten Zeiten bis zur Gegenwart / Vorträge in der Arbeiterbildungsschule,51,
19010618,18.06.1901,1901,Berlin,Goethes Naturanschauung in der Gegenwart,Vortrag in der Abteilung Naturwissenschaft der Berliner Freien Studentenschaft (Finkenschaft) Öffentlicher Vortrag,68c,
19011019,19.10.1901,1901,Berlin,Über Heraklit,Vorträge in der Theosophischen Bibliothek,87,
19011026,26.10.1901,1901,Berlin,Griechische Mythologie,Vorträge in der Theosophischen Bibliothek,87,
19011102,02.11.1901,1901,Berlin,Heraklit und Pythagoras,Vorträge in der Theosophischen Bibliothek,87,
19011109,09.11.1901,1901,Berlin,Die pythagoreische Lehre,Vorträge in der Theosophischen Bibliothek,87,
19011116,16.11.1901,1901,Berlin,Die Pythagoreer,Vorträge in der Theosophischen Bibliothek,87,
19011123,23.11.1901,1901,Berlin,Das Verhältnis des Seelischen und Geistigen zur Körperwelt bei den Pythagoreern,Vorträge in der Theosophischen Bibliothek,87,
19011130,30.11.1901,1901,Berlin,Über das Totenbuch,Vorträge in der Theosophischen Bibliothek,87,
19011228,28.12.1901,1901,Berlin,Der Herakles-Mythos,Vorträge in der Theosophischen Bibliothek,87,
19020104,04.01.1902,1902,Berlin,Die platonische Philosophie vom Standpunkte der Mystik,Vorträge in der Theosophischen Bibliothek,87,
19020111,11.01.1902,1902,Berlin,Platons «Phaidon» und «Timaios» – Gespräch über die Unsterblichkeit oder Unendlichkeit der Seele,Vorträge in der Theosophischen Bibliothek,87,
19020117,17.01.1902,1902,Berlin,Die Grundvorstellungen der Platonischen Weltanschauung,Vorträge in der Theosophischen Bibliothek,87,
19020124,24.01.1902,1902,Berlin,Platon und das Christentum,Vorträge in der Theosophischen Bibliothek,87,
19020201,01.02.1902,1902,Berlin,Die Mystik des Philon von Alexandrien,Vorträge in der Theosophischen Bibliothek,87,
19020208,08.02.1902,1902,Berlin,"Philon und die Geistesströmungen seiner Zeit – Therapeuten, Essäertum",Vorträge in der Theosophischen Bibliothek,87,
19020212,12.02.1902,1902,Berlin,Über Multatuli,"Vortrag im «Literarischen Salon» in der Kunstausstellung Lutherstraße 47, im Zusammenhang mit Rezitationen von Gedichten von Multatuli",32,
19020213,13.02.1902,1902,Hamburg,Goethes «Faust» als Offenbarung seiner Weltanschauung,Öffentlicher Vortrag,68c,
19020215,15.02.1902,1902,Berlin,Das Christentum der Evangelien,Vorträge in der Theosophischen Bibliothek,87,
19020222,22.02.1902,1902,Berlin,Der Christusgedanke und seine Beziehung zum ägyptischen und buddhistischen Geistesleben,Vorträge in der Theosophischen Bibliothek,87,
19020301,01.03.1902,1902,Berlin,Der Christusgedanke im ägyptischen Geistesleben,Vorträge in der Theosophischen Bibliothek,87,
19020308,08.03.1902,1902,Berlin,Das Matthäus-Evangelium und seine Beziehung zum ägyptischen und modernen Geistesleben,Vorträge in der Theosophischen Bibliothek,87,
19020315,15.03.1902,1902,Berlin,Darstellung des Initiationsprozesses,Vorträge in der Theosophischen Bibliothek,87,
19020322,22.03.1902,1902,Berlin,Die Apokalypse,Vorträge in der Theosophischen Bibliothek,87,
19020329,29.03.1902,1902,Berlin,Gnosis und Apokalypse,Vorträge in der Theosophischen Bibliothek,87,
19020405,05.04.1902,1902,Berlin,Paulinisches Christentum und Johanneisches Christentum,Vorträge in der Theosophischen Bibliothek,87,
19020419,19.04.1902,1902,Berlin,Augustinus,Vorträge in der Theosophischen Bibliothek,87,
19020426,26.04.1902,1902,Berlin,Über Scotus Erigena,Vorträge in der Theosophischen Bibliothek,87,
19020506,06.05.1902,1902,Berlin,William Shakespeare,Vorträge in der Arbeiterbildungsschule,51,
19020507,07.05.1902,1902,Berlin,Vor welchem Forum kann über einheitliche Weltanschauung entschieden werden? Versuch einer Antwort auf die Frage nach Wahrheit und Wissenschaft,Vortrag im Giordano Bruno- Bund für einheitliche Weltanschauung,51,
19021008,08.10.1902,1902,Berlin,Monismus und Theosophie,Vortrag im Giordano Bruno-Bund für einheitliche Weltanschauung,51,
19021015,15.10.1902,1902,Berlin,Monismus und Theosophie,Diskussion im Giordano Bruno-Bund für einheitliche Weltanschauung über den am 8. Okt. gehaltenen Vortrag,51,
19030101a,1903 Sommer,1903,Berlin,Der Sonnenlogos und die zehn Avatare. Die Metamorphosen des Sonnenlogos in den heiligen Büchern der Veden und in der Rosenkreuzerchronik,In der Wohnung von Marie von Sivers in Berlin-Schlachtensee gab Rudolf Steiner im Sommer 1903 eine Reihe von privaten Lehrstunden.,88,
19030101b,1903 Sommer,1903,Berlin,Die Bhagavad Gita. Gespräch zwischen Arjuna und Krishna. Was ist Dharma? Die Kasteneinteilung der alten Inder.,In der Wohnung von Marie von Sivers in Berlin-Schlachtensee gab Rudolf Steiner im Sommer 1903 eine Reihe von privaten Leerstunden.,88,
19030101c,1903 Sommer,1903,Berlin,"Der erste, zweite und dritte Logos",In der Wohnung von Marie von Sivers in Berlin- Schlachtensee gab Rudolf Steiner im Sommer 1903 eine Reihe von privaten Leerstunden.,"88,89",
19030101d,1903 Sommer,1903,Berlin,"Die höhere Entwicklung des Menschen. All-Einheit und Sonderheit. Bewusstes Üben, Konzentration und Meditation. Vier Eigenschaften, die der Chela in sich ausbilden muss. Nebenübungen.",In der Wohnung von Marie von Sivers in Berlin-Schlachtensee gab Rudolf Steiner im Sommer 1903 eine Reihe von privaten Leerstunden.,88,
19030101d,"1903, 1904",1903,Berlin,,Esoterische Stunde,"266/1, GA 267",
19030415,15.04.1903,1903,Weimar,"Theosophie und die Fortbildung der Religionen, die Bibel-Babel-Frage",,68a,
19030417,17.04.1903,1903,Weimar,"Die theosophischen Hauptlehren, Reinkarnation und Karma",,68a,
19030420,20.04.1903,1903,Weimar,Die Theosophie und der wissenschaftliche Geist der Gegenwart,,68a,
19030704,04.07.1903,1903,London,Der Zusammenhang des allgemeinen Geisteslebens mit der Theosophie und die Aussichten derselben in der Zukunft der deutschen Kultur,Erste Versammlung der Föderation der Europäischen Sektionen der Theosophischen Gesellschaft,,
19030720,20.07.1903,1903,Berlin,,Sommer-Sonnwend-Feier des Giordano Bruno-Bundes bei den Humboldt Gräbern,,
19030802,02.08.1903,1903,Berlin,Farben und Lichtlehre I,,91,
19030803,03.08.1903,1903,Berlin,Farben und Lichtlehre II,,91,
19030804,04.08.1903,1903,Berlin,Farben und Lichtlehre III,,91,
19030806,06.08.1903,1903,Berlin,Farben und Lichtlehre IV,,91,
19030808,08.08.1903,1903,Berlin,Farben und Lichtlehre V,,91,
19030824,24.08.1903,1903,Berlin,Wiederverkörperungsfragen,,"88,90c,90c",
19030828,28.08.1903,1903,Berlin,Tempelritter,,90c,
19030901,01.09.1903,1903,Berlin,Geheimnisse und Geheimhaltung,,"88,90c,90c",
19030906,06.09.1903,1903,Berlin,Das Ewige und das Vergängliche im Menschen. Das Vergängliche und das Ewige im Menschen,,52,
19030911,11.09.1903,1903,Berlin,"Rosenkreuzer, Graf St. Germain, Französische Revolution",,90c,
19030916,16.09.1903,1903,Berlin,"Wann und auf welche Weise findet die Vereinigung des Egos, des eigentlichen menschlichen Selbtes, mit seinen verschiedenen Körpern statt.",bei Klara Motzkus (nicht verbürgt),,
19030918,18.09.1903,1903,Berlin,"Embryologie, geschlechtliche Fortpflanzung",,90c,
19030925,25.09.1903,1903,Berlin,"Das Symbol der Biene, Entwicklung auf der Erde, Kamaloka – Devachan, Unsterblichkeit",,90c,
19030928,28.09.1903,1903,Berlin,Weltenweisheit und Menschenweisheit,Mitglieder-Vortrag,90a,
19031002,02.10.1903,1903,Berlin,"Ursprung und Bedeutung des menschlichen Leidens, Vererbbare Krankheiten",,90c,
19031003,03.10.1903,1903,Berlin,Der Ursprung der Seele,,52,
19031009,09.10.1903,1903,Berlin,"Inkarnationenfolge, Wiederverkörperung bei Kindestod, Wiedergeburt hoher Individualitäten",,90c,
19031010,10.10.1903,1903,Berlin,«Faust» als wissenschaftspädagogisches Problem,Vortrag für den Verband für Hochschulpädagogik Öffentlicher Vortrag,68c,
19031013,13.10.1903,1903,Berlin,Über den Ursprung des Bösen,,90c,
19031016,16.10.1903,1903,Berlin,"Weltgerechtigkeit, Weisheitsvoller Weltenplan, Das Pfingstfestsymbol",,90c,
19031018a,18.10.1903,1903,Berlin,"Okkulte Geschichtsforschung, mit besonderer Rücksicht auf die Gegenwart",Erste Generalversammlung der Deutschen Sektion der Theosophischen Gesellschaft,"34,88",
19031018b,18.10.1903,1903,Berlin,,Vorstandssitzung,,
19031018c,18.10.1903,1903,Berlin,,Erste Generalversammlung der deutschen Sektion der Theosophischen Gesellschaft,"34,88",
19031020,20.10.1903,1903,Berlin,Über Gutes und Böses,,90c,
19031023,23.10.1903,1903,Weimar,Das Wesen der Menschen oder die geistige Chemie,,68a,
19031024,24.10.1903,1903,Berlin,,Generalversammlung des Berliner Zweiges,,
19031027,27.10.1903,1903,Berlin,Physische Krankheiten und kosmologische Gesetzmäßigkeiten,,88,
19031028,28.10.1903,1903,Berlin,Das Mysterium von Geburt und Tod,,88,
19031030a,30.10.1903,1903,Berlin,Hat alles in der Welt einen nützlichen Zweck,Mitglieder-Vortrag,90a,
19031030b,30.10.1903,1903,Berlin,"Die drei Logoi und der Mensch, die sieben Bewusstseinsstufen",Mitglieder-Vortrag,90c,
19031102,02.11.1903,1903,Berlin,Über frühere Gottesvorstellungen. Über die dritte Runde,,88,
19031104,04.11.1903,1903,Berlin,Die höheren Welten und der Anteil des Menschen an ihnen,,88,
19031106,06.11.1903,1903,Berlin,Die Entwicklung des Menschen – Mond und Erde,,90c,
19031107,07.11.1903,1903,Berlin,Das Wesen der Gottheit vom theosophischen Standpunkt. Das Wesen der Gottheit vom theosophischen Gesichtspunkt,,52,
19031110,10.11.1903,1903,Berlin,Kosmische Epochen und Zustànde und deren Entsprechung in der menshclichen Entwicklung. Die 8. Sphäre,Mitglieder-Vortrag,90a,
19031111,11.11.1903,1903,Berlin,Ursprung und Wesen des Menschen,,88,
19031113,13.11.1903,1903,Berlin,"Mysterien und Geheimschulen, Vegetarismus, Pythagoras, Nahrung und Temperament",,90c,
19031116,16.11.1903,1903,Berlin,Woher Mannigfaltigkeit? Aus der Einheit.,Mitglieder-Vortrag,90a,
19031117,17.11.1903,1903,Berlin,"Über Sinneta ""Esoterischer Buddhismus""",Mitglieder-Vortrag,90a,
19031118,18.11.1903,1903,Berlin,Die Wesen der astralen Welt,,88,
19031120,20.11.1903,1903,Weimar,Die Pilgerfahrt der Seele,,,
19031124,24.11.1903,1903,Berlin,Über den Sündenfall,,88,
19031125,25.11.1903,1903,Berlin,Charakter der astralen Vorgänge,,88,
19031127,27.11.1903,1903,Berlin,Die erkenntnistheoretische Grundlegung der Theosophie,Diskussionsabend,52,
19031201,01.12.1903,1903,Berlin,Über den Werde-Prozeß der Menschheitsrassen,Mitglieder-Vortrag,90a,
19031202,02.12.1903,1903,Berlin,Kamaloka,,88,
19031204a,04.12.1903,1903,Berlin,Die erkenntnistheoretische Grundlegung der Theosophie,Diskussionsabend,52,
19031204b,04.12.1903,1903,Berlin,"Die Einweihung der Weisheit, des Gemütes, des Willens. Die Aufgabe der theosophischen Geistesströmung oder der Theosophie überhaupt",,90c,
19031208,08.12.1903,1903,Berlin,Kosmologie nach der Genesis,,88,
19031211,11.12.1903,1903,Weimar,Weltgesetz und Menschenschicksal – eine Weihnachtsbetrachtung,,,
19031215,15.12.1903,1903,Berlin,Über die Entstehung der Planetensysteme,Mitglieder-Vortrag,90a,
19031217,17.12.1903,1903,Berlin,Die erkenntnistheoretische Grundlegung der Theosophie,,52,
19031221,21.12.1903,1903,Berlin,Weltengesetz und Menschenschicksal. Im Lichte der ägyptischen Mystik,Weihnachtsvortrag,88,
19031222,22.12.1903,1903,Berlin,Kosmologie und Planeten,Mitglieder-Vortrag,90a,
19031229,29.12.1903,1903,Berlin,Entwicklungsstufen der Menschheit. Über Rassen in Runden,,88,
19040101,1904,1904,Berlin,Über die Wanderungen der Rassen,Mitglieder-Vortrag,90a,
19040104,04.01.1904,1904,Berlin,Theosophie und Christentum. Die Theosophie der Evangelien,,52,
19040105,05.01.1904,1904,Berlin,Schilderung der Runden,Mitglieder-Vortrag,90a,
19040112,12.01.1904,1904,Berlin,Die Bildung der Aura I,Mitglieder-Vortrag,90a,
19040115,15.01.1904,1904,Weimar,Herder und die Theosophie,,34,
19040119,19.01.1904,1904,Berlin,Die Bildung der Aura II,Mitglieder-Vortrag,90a,
19040126,26.01.1904,1904,Berlin,Bildung des Kosmos nach A. Besants «Uralte Weisheit»,Mitglieder-Vortrag,90a,
19040128,28.01.1904,1904,Berlin,Vortrag 1,,88,
19040201,01.02.1904,1904,Berlin,Theosophie und Spiritismus,,52,
19040202,02.02.1904,1904,Berlin,Der zweite Logos,Mitglieder-Vortrag,90a,
19040204,04.02.1904,1904,Berlin,Vortrag 2,,88,
19040208,08.02.1904,1904,Berlin,Vortrag 1,Mitglieder-Zusammenkunft,266/1,
19040209,09.02.1904,1904,Berlin,Bildung des Kosmos nach Besants «Uralte Weisheit»,Mitglieder-Vortrag,90a,
19040211,11.02.1904,1904,Berlin,Vortrag 3,,88,
19040215,15.02.1904,1904,Berlin,Vortrag 2,Mitglieder-Zusammenkunft,266/1,
19040216,16.02.1904,1904,Berlin,Entwicklung der Wesen nach Besants «Uralte Weisheit»,Mitglieder-Vortrag,90a,
19040218,18.02.1904,1904,Berlin,Über das Devachan,Mitglieder-Vortrag,90a,
19040221,21.02.1904,1904,Berlin,Vortrag 3,Mitglieder-Zusammenkunft,266/1,
19040222,22.02.1904,1904,Berlin,Die Mosaische Schöpfungsgeschichte und die Runden,Mitglieder-Vortrag,90a,
19040225,25.02.1904,1904,Berlin,Vortrag 4,,88,
19040226,26.02.1904,1904,Weimar,Theosophie und Buddhismus,,,
19040303,03.03.1904,1904,Berlin,Mikrokosmos und Makrokosmos,Mitglieder-Vortrag,90a,
19040307,07.03.1904,1904,Berlin,Theosophie und Somnambulismus,,52,
19040308,08.03.1904,1904,Berlin,Was findet der heutige Mensch in der Theosophie?,,52,
19040311,11.03.1904,1904,Berlin,Über den Sattwa-Zustand,Mitglieder-Vortrag,90a,
19040314,14.03.1904,1904,Berlin,Vortrag 4,Mitglieder-Zusammenkunft,266/1,
19040316,16.03.1904,1904,Berlin,Körper und Seele. Wie lernt man das seelische Leben beobachten? Die Religionen und die Seelenfrage. Die Wissenschaft und die Seelenfrage,,52,
19040318,18.03.1904,1904,Berlin,"Kabbala, Sephirot",,89,
19040323,23.03.1904,1904,Berlin,Seele und Menschenschicksal Was sind Lust und Leid? Was ist Schicksal? Hat der Mensch sein Schicksal verdient? Optimismus und Pessimismus. Genie und Irrsinn,,52,
19040326,26.03.1904,1904,Weimar,"Theosophie in den Evangelien, eine theosophische Osterbetrachtung",,,
19040328,28.03.1904,1904,Berlin,Geburt und Tod im Leben der Seele ,,68b,
19040329,29.03.1904,1904,Berlin,Einleitung in Goethes Märchen von der grünen Schlange und der schönen Lilie,Ansprache vor der Lesung von Goethes Märchen und im Anschluß an das Märchen von der grünen Schlange und der schönen Lilie,68c,
19040330,30.03.1904,1904,Berlin,Seele und Geist. Die Unsterblichkeitsfrage. Vom Hypnotismus zum Hellsehen. Geistige Heilungen. Die Erziehung im Lichte geistiger Weltanschauung,,52,
19040401,01.04.1904,1904,Berlin,Die Genesis I,Mitglieder-Vortrag,90a,
19040404,04.04.1904,1904,Berlin,Das Märchen von der grünen Schlange und der schönen Lilie,nicht öffentlicher Vortrag,68c,
19040422,22.04.1904,1904,München,Goethe als Theosoph,Öffentlicher Vortrag,68c,
19040428,28.04.1904,1904,Berlin,Was wissen unsere Gelehrten von Theosophie?,,52,
19040429,29.04.1904,1904,Berlin,Die Genesis II,Mitglieder-Vortrag,90a,
19040502,02.05.1904,1904,Berlin,Einleitung zum Weißen Lotustag,Mitglieder-Vortrag,90a,
19040505,05.05.1904,1904,Berlin,Rede zum Weißen Lotustag,Gedächtnisabend zum Andenken H. P. Blavatskys ?,,
19040516,16.05.1904,1904,Hannover,"Geburt und Tod im Leben der Seele, ein Blick in die theosophische Weltanschauung",,68b,
19040521,21.05.1904,1904,Berlin,Zur Apokalypse I,,90a,
19040523,23.05.1904,1904,Berlin,"Das Pfingstfest. Pfingsten, das Fest der Befreiung des Menschen",,93,
19040526,26.05.1904,1904,Berlin,Theosophische Kosmologie,,89,
19040527,27.05.1904,1904,Berlin,Über die Bedeutung der ältesten Teile des Alten Testaments,Mitglieder-Vortrag,90a,
19040530,30.05.1904,1904,Berlin,Die Geschichte des Spiritismus,,52,
19040601,01.06.1904,1904,Berlin,Arten um zum Wissen und Wollen zu kommen,,90a,
19040602,02.06.1904,1904,Berlin,Theosophische Kosmologie,,89,
19040606,06.06.1904,1904,Berlin,Die Geschichte des Hypnotismus und des Somnambulismus,,52,
19040609,09.06.1904,1904,Berlin,Theosophische Kosmologie,,89,
19040610,10.06.1904,1904,Berlin,Kain und Abel. Der Gegensatz von Kain und Abel,,93,
19040612,12.06.1904,1904,Berlin,Das Prinzip der Korrelation,,90a,
19040613,13.06.1904,1904,Berlin,Der Begriff des Objektiv-Vorhandenen-Seins und des Subjektiv-Erfassens,Mitglieder-Vortrag,90a,
19040615,15.06.1904,1904,Berlin,Folgende Runden,Mitglieder-Vortrag,90a,
19040616,16.06.1904,1904,Berlin,Ein Hauptgesetz aller Runden-Evolution,Mitglieder-Vortrag,90a,
19040621,21.06.1904,1904,Amsterdam,Mathematik und Okkultismus,Erster Kongreß der Föderation Europäischer Sektionen der Theosophischen Gesellschaft,35,
19040624,24.06.1904,1904,Berlin,Gut und Böse,,92,
19040625a,25.06.1904,1904,Berlin,"Unterschiede im Gefüge des Geistes zwischen dem zweiten Rama, Krishna und Buddha",Mitglieder-Vortrag,90a,
19040625b,25.06.1904,1904,Berlin,Kain und Abel (Fortsetzung vom 10. April),,,
19040626,26.06.1904,1904,Berlin,Über die atlantische Kultur,,90a,
19040627,27.06.1904,1904,Berlin,Über die Atlantis,,90a,
19040628,28.06.1904,1904,Berlin,Über die Lemurien,,90a,
